,Equipe,Posse,#Jogada,Quarto,Down,Distance,Linha,Campo,Flag,Falta,Time,Jardas,1st down,3rd down,4th down,3&Out,Turnover,Jogada,QB,# Play,Yds,TD,Int,Inc,FF,#FF,FR,#FR,2-pts,FG,#FG,FG Yds,XP,#XP,TD ST,Sack,#Sack1,#Sack2,TFL,# TFL1,# TFL2,DFL,#DFL,D-FF,#D-FF,D-FR,#D-FR,D-Int,#D-Int,Tackle,#Tackle1,#Tackle2,TD - Def,#TD - Def,Safety,#Safety
32,Capitains,3.0,5.0,2.0,1.0,15.0,40,A,,,,,,,,,,Passe,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sim,10.0,,,,,
33,Capitains,3.0,6.0,2.0,2.0,6.0,31,A,,,,,,,,,,Corrida,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sim,97.0,94.0,,,,
34,Capitains,3.0,7.0,2.0,3.0,6.0,31,A,,,,,,Sim,,,,Sack,,,-1.0,,,,,,,,,,,,,,,Sim,29.0,,,,,,,,,,,,,,,,,,,
35,Capitains,3.0,8.0,2.0,4.0,6.0,31,A,,,,,,,Sim,,Sim,Passe,,,,,,Sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Tigres,3.0,1.0,2.0,1.0,10.0,31,D,,,,,,,,,,Passe,11.0,,,,Sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Capitains,4.0,1.0,2.0,1.0,10.0,31,A,,,,,,,,,,Passe,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sim,28.0,,,,,
38,Capitains,4.0,2.0,2.0,2.0,3.0,24,A,,,,,Sim,,,,,Corrida,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sim,59.0,99.0,,,,
39,Capitains,4.0,3.0,2.0,1.0,10.0,20,A,,,,,,,,,,Passe,,,,,,Sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Capitains,4.0,4.0,2.0,2.0,10.0,20,A,,,,,,,,,,Passe,,,,,,Sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Capitains,4.0,5.0,2.0,3.0,10.0,20,A,,,,,,Sim,,,,Passe,,,,,,Sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Capitains,4.0,6.0,2.0,4.0,10.0,20,A,,,,,,,Sim,,Sim,Passe,,,,,,Sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Tigres,4.0,1.0,2.0,1.0,10.0,20,D,,,,,Sim,,,,,Corrida,11.0,11.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Tigres,4.0,2.0,2.0,1.0,10.0,24,A,Sim,Offside,Capitains,5.0,,,,,,Falta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Tigres,4.0,3.0,2.0,1.0,5.0,19,A,,,,,,,,,,Passe,11.0,81.0,19.0,Sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Tigres,4.0,,2.0,,,2,A,,,,,,,,,,2-pt,11.0,84.0,2.0,,,,,,,,Sim,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Capitains,,,2.0,,,25,D,,,,,,,,,,Kickoff,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Tigres,5.0,1.0,3.0,1.0,10.0,36,D,,,,,,,,,,Corrida,11.0,31.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Tigres,5.0,2.0,3.0,2.0,9.0,37,D,,,,,Sim,,,,,Passe,11.0,87.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Tigres,5.0,3.0,3.0,1.0,10.0,30,A,,,,,,,,,,Corrida,11.0,31.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Tigres,5.0,4.0,3.0,2.0,5.0,25,A,,,,,Sim,,,,,Passe,11.0,84.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Tigres,5.0,5.0,3.0,1.0,10.0,17,A,,,,,,,,,,Corrida,11.0,31.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Tigres,5.0,6.0,3.0,2.0,9.0,16,A,,,,,,,,,,Passe,11.0,,,,,Sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Tigres,5.0,7.0,3.0,3.0,9.0,16,A,,,,,,Sim,,,,Passe,11.0,31.0,,,,Sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Tigres,5.0,8.0,3.0,4.0,9.0,16,A,,,,,,,Sim,,Sim,Passe,11.0,,,,,Sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
